カテゴリ,品名,単位,1単位の目安g,数え方,別名(検索用),数値の作り方,備考
主食,ごはん 茶碗1杯,杯,150,杯(0.5刻み),ごはん/白米/はくまい,転記,既存「白米(飯)g指定」と二本立て
主食,ごはん 大盛り1杯,杯,240,杯(0.5刻み),おおもり,転記,
主食,ごはん 子ども茶碗1杯,杯,100,杯(0.5刻み),こども/小盛り,転記,
主食,玄米ごはん 茶碗1杯,杯,150,杯(0.5刻み),げんまい,転記,既存g指定と二本立て
主食,もち麦ごはん 茶碗1杯,杯,150,杯(0.5刻み),もちむぎ,転記,既存g指定と二本立て
主食,雑穀米 茶碗1杯,杯,150,杯(0.5刻み),ざっこくまい/十六穀,積算,
主食,おかゆ 1杯,杯,250,杯(0.5刻み),お粥/かゆ,転記,全かゆ
主食,雑炊 1杯,杯,300,杯(0.5刻み),ぞうすい/おじや,積算,
主食,おにぎり(鮭) 1個,個,110,個,さけ/しゃけ,積算,
主食,おにぎり(ツナマヨ) 1個,個,110,個,つなまよ,積算,
主食,おにぎり(梅) 1個,個,110,個,うめ,積算,
主食,おにぎり(昆布) 1個,個,110,個,こんぶ,積算,
主食,おにぎり(明太子) 1個,個,110,個,めんたいこ,積算,
主食,焼きおにぎり 1個,個,90,個,やきおにぎり,転記,成分表にあり
主食,赤飯 茶碗1杯,杯,150,杯(0.5刻み),せきはん/お赤飯,転記,
主食,もち 1個,個,50,個,餅/切り餅,転記,
主食,食パン(6枚切) 1枚,枚,60,枚,しょくぱん/トースト,転記,既存57品と重複→統合判断
主食,食パン(8枚切) 1枚,枚,45,枚,うすぎり,転記,
主食,ロールパン 1個,個,30,個,ろーるぱん,転記,
主食,クロワッサン 1個,個,45,個,くろわっさん,転記,
主食,フランスパン 2切れ,個,50,個,ばげっと/バゲット,転記,
主食,ベーグル 1個,個,90,個,べーぐる,転記,
主食,全粒粉パン 1枚,枚,60,枚,ぜんりゅうふん,転記,
主食,菓子パン(あんぱん) 1個,個,100,個,あんぱん,転記,
主食,菓子パン(クリームパン) 1個,個,100,個,くりーむぱん,転記,
主食,菓子パン(メロンパン) 1個,個,100,個,めろんぱん,転記,
主食,カレーパン 1個,個,120,個,かれーぱん,転記,成分表にあり
主食,総菜パン(焼きそばパン) 1個,個,130,個,そうざいぱん,積算,
主食,サンドイッチ(ハムレタス) 1人前,人前,140,人前(0.5刻み),さんどいっち,積算,
主食,サンドイッチ(たまご) 1人前,人前,140,人前(0.5刻み),たまごさんど,積算,
主食,ホットドッグ 1個,個,120,個,ほっとどっぐ,積算,
主食,シリアル(コーンフレーク) 1食,人前,40,人前(0.5刻み),こーんふれーく,転記,牛乳別
主食,グラノーラ 1食,人前,50,人前(0.5刻み),ぐらのーら/フルグラ,市販平均,牛乳別
主食,ホットケーキ 2枚,人前,160,人前(0.5刻み),ぱんけーき/パンケーキ,転記,シロップ込み想定は備考
主食,フレンチトースト 1枚,人前,120,人前(0.5刻み),ふれんちとーすと,積算,
主食,お好み焼き(豚) 1枚,枚,350,枚(0.5刻み),おこのみやき,転記,成分表にあり
主食,たこ焼き 6個,人前,120,人前(0.5刻み),たこやき,転記,成分表にあり
主食,ピザ(マルゲリータ) 1切れ,個,100,個,ぴざ/ぴっつぁ,積算,Mサイズ1/8×2枚分は備考へ
主食,ピザトースト 1枚,枚,120,枚,ぴざとーすと,積算,
丼・ワンプレート,カレーライス 1人前,人前,450,人前(0.5刻み),かれー/カレー,積算,ごはん200g込み・C方式の代表
丼・ワンプレート,カレー(ルーのみ) 1人前,人前,250,人前(0.5刻み),かれーるー,積算,ごはん別のこだわり派用
丼・ワンプレート,ビーフカレー 1人前,人前,450,人前(0.5刻み),びーふかれー,積算,ごはん200g込み
丼・ワンプレート,キーマカレー 1人前,人前,400,人前(0.5刻み),きーまかれー,積算,ごはん200g込み
丼・ワンプレート,バターチキンカレー 1人前,人前,430,人前(0.5刻み),ばたーちきん,積算,ごはん200g込み
丼・ワンプレート,スープカレー 1人前,人前,500,人前(0.5刻み),すーぷかれー,積算,ごはん150g込み
丼・ワンプレート,ハヤシライス 1人前,人前,450,人前(0.5刻み),はやしらいす/ハッシュドビーフ,積算,ごはん200g込み
丼・ワンプレート,牛丼 並盛1杯,杯,400,杯(0.5刻み),ぎゅうどん,積算,ごはん250g込み
丼・ワンプレート,牛丼(具のみ) 1人前,人前,150,人前(0.5刻み),ぎゅうどんのぐ,積算,ごはん別用
丼・ワンプレート,親子丼 1杯,杯,400,杯(0.5刻み),おやこどん,積算,ごはん250g込み
丼・ワンプレート,カツ丼 1杯,杯,450,杯(0.5刻み),かつどん,積算,ごはん250g込み
丼・ワンプレート,豚丼 1杯,杯,400,杯(0.5刻み),ぶたどん,積算,ごはん250g込み
丼・ワンプレート,天丼 1杯,杯,420,杯(0.5刻み),てんどん,積算,ごはん250g込み
丼・ワンプレート,海鮮丼 1杯,杯,380,杯(0.5刻み),かいせんどん,積算,ごはん230g込み
丼・ワンプレート,鉄火丼 1杯,杯,360,杯(0.5刻み),てっかどん/まぐろ丼,積算,ごはん230g込み
丼・ワンプレート,ねぎとろ丼 1杯,杯,370,杯(0.5刻み),ねぎとろ,積算,ごはん230g込み
丼・ワンプレート,うな丼 1杯,杯,400,杯(0.5刻み),うなどん/うなぎ,積算,ごはん250g込み
丼・ワンプレート,中華丼 1杯,杯,450,杯(0.5刻み),ちゅうかどん,積算,ごはん250g込み
丼・ワンプレート,麻婆丼 1杯,杯,430,杯(0.5刻み),まーぼーどん,積算,ごはん250g込み
丼・ワンプレート,ロコモコ丼 1人前,人前,450,人前(0.5刻み),ろこもこ,積算,
